PT,HLT,HLGT,SOC_ABBREV
Fine motor skill dysfunction,Dyskinesias and movement disorders NEC,Movement disorders (incl parkinsonism),Nerv
Hemianopia homonymous,Neurologic visual problems NEC,Neurological disorders of the eye,Nerv
Neurologic neglect syndrome,Cortical dysfunction NEC,Neurological disorders NEC,Nerv
Osmotic demyelination syndrome,Demyelinating disorders NEC,Demyelinating disorders,Nerv
Reflexes abnormal,Abnormal reflexes,Neurological disorders NEC,Nerv
Corneal transplant,Corneal and scleral therapeutic procedures,Eye therapeutic procedures,Surg
Salmonella test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Inv
Amyotrophic lateral sclerosis,Motor neurone diseases,Neuromuscular disorders,Nerv
Frontotemporal dementia,Dementia (excl Alzheimer's type),Mental impairment disorders,Nerv
Abdominal wall abscess,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Diabetes insipidus,Posterior pituitary disorders,Hypothalamus and pituitary gland disorders,Endo
Scleral disorder,"Scleral structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Brain hypoxia,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nerv
Non-alcoholic fatty liver,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Haemoglobin abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Acquired haemophilia,Coagulation factor deficiencies,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Blood
Colon cancer stage III,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Vital capacity decreased,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Benign endocrine neoplasm,Endocrine neoplasms benign NEC,Endocrine neoplasms benign,Neopl
Pancreatic cyst,Cystic pancreatic disorders,Exocrine pancreas conditions,Gastr
Gastric dilatation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastr
Meningococcal sepsis,Neisseria infections,Bacterial infectious disorders,Infec
Papillitis,Inflammations,General system disorders NEC,Genrl
Oral cavity fistula,Gastrointestinal fistulae,Gastrointestinal conditions NEC,Gastr
Wound contamination,Non-site specific injuries NEC,Injuries NEC,Inj&P
Blood iron increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Eyelid infection,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Glomerulonephritis membranous,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal
Hyperthermia,Body temperature altered,Body temperature conditions,Genrl
Malignant melanoma in situ,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Retinal vein occlusion,Retinal bleeding and vascular disorders (excl retinopathy),"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Visual acuity tests abnormal,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Inv
Gastroenteritis norovirus,Caliciviral infections,Viral infectious disorders,Infec
Muscle disorder,Muscle related signs and symptoms NEC,Muscle disorders,Musc
Myelitis transverse,Myelitis (incl infective),Central nervous system infections and inflammations,Nerv
HIV test positive,Virus identification and serology,Microbiology and serology investigations,Inv
Urethral stent insertion,Urethral therapeutic procedures,Renal and urinary tract therapeutic procedures,Surg
Urethral stent removal,Urethral therapeutic procedures,Renal and urinary tract therapeutic procedures,Surg
Endometrial sarcoma,Endometrial neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Infectious mononucleosis,Epstein-Barr viral infections,Viral infectious disorders,Infec
Chest X-ray abnormal,Respiratory tract and thoracic imaging procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Demyelinating polyneuropathy,Chronic polyneuropathies,Peripheral neuropathies,Nerv
Peripheral sensorimotor neuropathy,Peripheral neuropathies NEC,Peripheral neuropathies,Nerv
Cervix inflammation,Cervix infections and inflammations,Female reproductive tract infections and inflammations,Repro
Coital bleeding,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Ectropion of cervix,Cervix disorders NEC,Cervix disorders (excl infections and inflammations),Repro
Abdominal infection,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Middle ear effusion,Middle ear disorders NEC,Middle ear disorders (excl congenital),Ear
Failed induction of labour,Failed labour,Maternal complications of labour and delivery,Preg
Metastatic malignant melanoma,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Hypersensitivity vasculitis,Skin vasculitides,Skin vascular abnormalities,Skin
Gastrointestinal fistula,Gastrointestinal fistulae,Gastrointestinal conditions NEC,Gastr
Ovarian enlargement,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Repro
Urine electrolytes abnormal,Water and electrolyte analyses NEC,"Water, electrolyte and mineral investigations",Inv
Costochondritis,Cartilage disorders,"Tendon, ligament and cartilage disorders",Musc
Laryngitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Abscess intestinal,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Neovascular age-related macular degeneration,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Pyomyositis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Soft tissue inflammation,Inflammations,General system disorders NEC,Genrl
Vernal keratoconjunctivitis,"Corneal infections, oedemas and inflammations","Ocular infections, irritations and inflammations",Eye
Pulmonary cavitation,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),Resp
Tuberculosis of central nervous system,Tuberculous infections,Mycobacterial infectious disorders,Infec
Gastroenteritis salmonella,Salmonella infections,Bacterial infectious disorders,Infec
Morbid thoughts,Thinking disturbances,Disturbances in thinking and perception,Psych
Craniocerebral injury,Cerebral injuries NEC,Injuries NEC,Inj&P
Sarcoidosis,Acute and chronic sarcoidosis,Immune disorders NEC,Immun
Gastric cancer,Gastric neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Ovarian cancer stage III,Ovarian neoplasms malignant (excl germ cell),Reproductive neoplasms female malignant and unspecified,Neopl
Injection site hypersensitivity,Injection site reactions,Administration site reactions,Genrl
Mastication disorder,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Tooth fracture,Abdominal and gastrointestinal injuries NEC,Injuries NEC,Inj&P
Lung squamous cell carcinoma stage I,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Retinal vascular thrombosis,Retinal bleeding and vascular disorders (excl retinopathy),"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Vitreous haemorrhage,Choroid and vitreous haemorrhages and vascular disorders,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Pulmonary infarction,Pulmonary thrombotic and embolic conditions,Pulmonary vascular disorders,Resp
Nipple exudate bloody,Breast signs and symptoms,Breast disorders,Repro
Fat necrosis,Necrosis NEC,Tissue disorders NEC,Genrl
Total lung capacity decreased,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Weight gain poor,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
Lymphangioma,Soft tissue neoplasms benign NEC,Soft tissue neoplasms benign,Neopl
Cardiac fibrillation,Rate and rhythm disorders NEC,Cardiac arrhythmias,Card
Injection site discharge,Injection site reactions,Administration site reactions,Genrl
Dental operation,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surg
Ear canal injury,Ear injuries NEC,Injuries NEC,Inj&P
Inner ear disorder,Inner ear disorders NEC,Inner ear and VIIIth cranial nerve disorders,Ear
Tooth extraction,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surg
Catarrh,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Therapy change,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Procedural pneumothorax,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,Inj&P
Keratolysis exfoliativa acquired,Exfoliative conditions,Epidermal and dermal conditions,Skin
Oophorectomy,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surg
Adenocarcinoma of the cervix,Cervix neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Rectal polyp,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastr
Stress urinary incontinence,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Haemophagocytic lymphohistiocytosis,Immune and associated conditions NEC,Immune disorders NEC,Immun
Pulmonary alveolar haemorrhage,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),Resp
Secondary immunodeficiency,Acquired immunodeficiency syndromes,Immunodeficiency syndromes,Immun
Rectal ulcer,Anal and rectal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastr
Angiotensin converting enzyme increased,Tissue enzyme analyses NEC,Enzyme investigations NEC,Inv
Granulomatous lymphadenitis,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Pancreatitis necrotising,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Mastitis,Breast infections,Infections - pathogen unspecified,Infec
Listless,Mood disorders NEC,Mood disorders and disturbances NEC,Psych
Poor quality product administered,Product administration errors and issues,Medication errors and other product use errors and issues,Inj&P
Mean cell haemoglobin concentration abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Mean cell haemoglobin increased,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Empyema,Infections NEC,Infections - pathogen unspecified,Infec
Alcoholic,Alcohol product use,Lifestyle issues,SocCi
Cervical dysplasia,Cervix disorders NEC,Cervix disorders (excl infections and inflammations),Repro
Cervix carcinoma stage I,Cervix neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Small cell lung cancer metastatic,Respiratory tract small cell carcinomas,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Mumps antibody test positive,Virus identification and serology,Microbiology and serology investigations,Inv
Antinuclear antibody increased,Autoimmunity analyses,Immunology and allergy investigations,Inv
Transitional cell carcinoma,Urinary tract neoplasms malignant NEC,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Colon operation,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Tuberculin test positive,Mycobacteria identification and serology,Microbiology and serology investigations,Inv
Drug abuse,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
Pseudocyst,General signs and symptoms NEC,General system disorders NEC,Genrl
Metastases to pelvis,Metastases to specified sites,Metastases,Neopl
Injection site injury,Injection site reactions,Administration site reactions,Genrl
Papilloma viral infection,Papilloma viral infections,Viral infectious disorders,Infec
Intestinal operation,Gastrointestinal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surg
Fungal skin infection,Fungal infections NEC,Fungal infectious disorders,Infec
Colectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Blood immunoglobulin G decreased,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Peripheral artery thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vasc
Subclavian artery thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vasc
Hepatic cyst,Hepatic and hepatobiliary disorders NEC,Hepatic and hepatobiliary disorders,Hepat
Light chain analysis abnormal,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Monoclonal immunoglobulin present,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Disease complication,General signs and symptoms NEC,General system disorders NEC,Genrl
Disease susceptibility,General signs and symptoms NEC,General system disorders NEC,Genrl
Palatal oedema,Oral soft tissue swelling and oedema,Oral soft tissue conditions,Gastr
Splenic neoplasm malignancy unspecified,Haematologic neoplasms NEC,Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
